"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_ASIAN","gap_completion_white_asian"
"2","University of Alabama at Birmingham",1,9899,17920,0.5506,0.7143,-0.297312023247367
"4","University of Alabama in Huntsville",1,8956,10211,0.4792,0.65,-0.356427378964942
"6","The University of Alabama",1,12791,10239,0.6652,0.5909,0.111695730607336
"9","Auburn University at Montgomery",1,8071,6837,0.2623,0.3333,-0.270682424704537
"10","Auburn University",1,14135,11704,0.7203,0.6622,0.0806608357628766
"11","Birmingham Southern College",2,10266,10658,0.6685,0.7273,-0.087958115183246
"27","Jacksonville State University",1,6447,7283,0.3478,0.375,-0.078205865439908
"37","University of Mobile",2,9947,6766,0.4335,0.25,0.423298731257209
"38","University of Montevallo",1,7568,7972,0.4346,0.4,0.0796134376438103
"40","University of North Alabama",1,6702,7218,0.4789,0.5,-0.0440593025683859
"47","Samford University",2,18352,14553,0.6721,0.6667,0.00803451867281665
"51","University of South Alabama",1,7295,10870,0.4038,0.4815,-0.192421991084695
"52","Spring Hill College",2,12082,7460,0.6325,0.75,-0.185770750988142
"57","Troy University",1,8632,5643,0.4271,0.375,0.121985483493327
"61","University of Alaska Anchorage",1,5843,10594,0.3015,0.2756,0.0859038142620231
"63","University of Alaska Fairbanks",1,6491,16892,0.3914,0.2778,0.290240163515585
"64","University of Alaska Southeast",1,6117,12814,0.2208,0.0769,0.651721014492754
"67","Charter College-Anchorage",3,8755,2617,0.4912,0.3056,0.37785016286645
"69","Everest College-Phoenix",3,13130,7785,0.3062,0.4231,-0.381776616590464
"70","Collins College",3,33714,15126,0.5128,0.4286,0.164196567862715
"82","Brookline College-Phoenix",3,16664,6269,0.4277,0.6667,-0.558802899228431
"83","Arizona State University-Tempe",1,12460,9671,0.6394,0.7317,-0.14435408195183
"85","University of Arizona",1,12441,12071,0.6194,0.6997,-0.129641588634162
"96","Embry-Riddle Aeronautical University-Prescott",2,26607,14781,0.5938,0.75,-0.263051532502526
"108","Northern Arizona University",1,7331,7510,0.5404,0.4747,0.121576609918579
"114","Pima Medical Institute-Tucson",3,6165,2713,0.669,0.8148,-0.217937219730942
"123","Arizona Christian University",2,9345,6537,0.614,1,-0.628664495114007
"129","University of Arkansas at Little Rock",1,6640,7485,0.3246,0.2727,0.159889094269871
