"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","gap_completion_white_black"
"1","Alabama A & M University",1,9427,7437,0.1429,0.3581,-1.50594821553534
"2","University of Alabama at Birmingham",1,9899,17920,0.5506,0.5221,0.05176171449328
"4","University of Alabama in Huntsville",1,8956,10211,0.4792,0.3028,0.368113522537563
"5","Alabama State University",1,7733,7618,0.4444,0.2599,0.415166516651665
"6","The University of Alabama",1,12791,10239,0.6652,0.6016,0.0956103427540589
"9","Auburn University at Montgomery",1,8071,6837,0.2623,0.15,0.428135722455204
"10","Auburn University",1,14135,11704,0.7203,0.6044,0.16090517839789
"11","Birmingham Southern College",2,10266,10658,0.6685,0.4,0.401645474943904
"23","Herzing University-Birmingham",3,11395,5800,0.4,0.3846,0.0385000000000001
"24","Huntingdon College",2,10131,6435,0.4592,0.4286,0.0666376306620209
"27","Jacksonville State University",1,6447,7283,0.3478,0.2199,0.367740080506038
"31","Judson College",2,8101,11427,0.4737,0.3,0.366687777074098
"33","University of West Alabama",1,7928,7552,0.3896,0.2759,0.291837782340862
"37","University of Mobile",2,9947,6766,0.4335,0.2174,0.498500576701269
"38","University of Montevallo",1,7568,7972,0.4346,0.5714,-0.314772204325817
"47","Samford University",2,18352,14553,0.6721,0.5306,0.21053414670436
"51","University of South Alabama",1,7295,10870,0.4038,0.2917,0.277612679544329
"52","Spring Hill College",2,12082,7460,0.6325,0.4138,0.345770750988142
"54","Stillman College",2,21345,9567,0.2,0.2051,-0.0255
"61","University of Alaska Anchorage",1,5843,10594,0.3015,0.1087,0.639469320066335
"63","University of Alaska Fairbanks",1,6491,16892,0.3914,0.2667,0.318599897802759
"67","Charter College-Anchorage",3,8755,2617,0.4912,0.2642,0.462133550488599
"69","Everest College-Phoenix",3,13130,7785,0.3062,0.2067,0.324951012410189
"79","CollegeAmerica-Flagstaff",2,17541,3873,0.475,0.3333,0.298315789473684
"83","Arizona State University-Tempe",1,12460,9671,0.6394,0.4916,0.231154207069127
"85","University of Arizona",1,12441,12071,0.6194,0.4523,0.26977720374556
"88","Brown Mackie College-Tucson",3,10380,3883,0.3488,0.2727,0.218176605504587
"99","Grand Canyon University",3,10550,1837,0.4545,0.1818,0.6
"103","ITT Technical Institute-Tucson",3,19470,1722,0.375,0.25,0.333333333333333
"104","ITT Technical Institute-Tempe",3,19621,1925,0.2857,0.25,0.124956247812391
"108","Northern Arizona University",1,7331,7510,0.5404,0.4237,0.215951147298298
"114","Pima Medical Institute-Tucson",3,6165,2713,0.669,0.4684,0.299850523168909
"123","Arizona Christian University",2,9345,6537,0.614,0.5,0.185667752442997
"129","University of Arkansas at Little Rock",1,6640,7485,0.3246,0.1567,0.517252002464572
"132","Arkansas Baptist College",2,8166,4684,0.2,0.1905,0.0475
"135","Lyon College",2,9009,10540,0.506,0.3333,0.341304347826087
"138","University of Arkansas",1,7143,9069,0.6365,0.4364,0.314375490966221
"139","University of Arkansas at Pine Bluff",1,2164,7827,0.3636,0.2663,0.267601760176018
"141","Arkansas State University-Main Campus",1,3633,5358,0.4754,0.2775,0.416281026503997
"142","Arkansas Tech University",1,3668,4516,0.4678,0.2533,0.458529286019666
"143","University of Arkansas at Monticello",1,2942,7186,0.3435,0.1304,0.62037845705968
"147","University of Central Arkansas",1,4697,6788,0.4718,0.2914,0.382365409071641
"150","Crowley's Ridge College",2,7679,3030,0.1887,0.2222,-0.177530471648119
"157","Harding University",2,12463,9684,0.6299,0.3929,0.376250198444197
"158","Henderson State University",1,3067,6495,0.4031,0.2431,0.396923840238154
"159","Hendrix College",2,11902,11426,0.7407,0.4706,0.364655056028082
"162","John Brown University",2,10593,7556,0.592,0.4,0.324324324324324
"172","Ouachita Baptist University",2,10798,8934,0.6023,0.3871,0.357297028059107
"175","University of the Ozarks",2,10822,9797,0.4605,0.375,0.185667752442997
"189","Southern Arkansas University Main Campus",1,3602,6436,0.3665,0.2022,0.448294679399727
"192","University of Arkansas-Fort Smith",1,2356,5534,0.2556,0.1818,0.288732394366197
"193","Academy of Art University",3,25086,12136,0.2595,0.1746,0.327167630057803
"194","ITT Technical Institute-Rancho Cordova",3,18433,3361,0.3333,0.2692,0.192319231923192
"211","Azusa Pacific University",2,18423,10128,0.7072,0.5217,0.262302036199095
"216","Biola University",2,21146,10696,0.7211,0.45,0.375953404520871
"219","Bryan University",3,15123,5522,0.0362,0.0313,0.135359116022099
"224","California Baptist University",2,18625,8080,0.6145,0.2162,0.648169243287225
"225","California College of the Arts",2,27248,15586,0.4911,0.4,0.185501934432906
"227","California Institute of Technology",2,16533,92590,0.8925,1,-0.120448179271709
"228","California Lutheran University",2,18773,8294,0.6895,0.9167,-0.329514140681653
"229","California Polytechnic State University-San Luis Obispo",1,8330,9610,0.7824,0.5,0.360940695296524
"231","California State University-Bakersfield",1,2882,6431,0.4437,0.1667,0.62429569528961
"233","California State University-San Bernardino",1,4359,6809,0.5333,0.3815,0.284642790174386
"234","California State Polytechnic University-Pomona",1,4552,7308,0.6059,0.4,0.339825053639214
"235","California State University-Chico",1,4966,6913,0.6277,0.4189,0.332642982316393
"236","California State University-Dominguez Hills",1,5053,6715,0.5143,0.2315,0.549873614621816
"237","California State University-Fresno",1,3810,6613,0.6305,0.3868,0.386518636003172
"238","California State University-Fullerton",1,5984,7739,0.6227,0.4306,0.308495262566244
"239","California State University-East Bay",1,6661,7087,0.4149,0.2709,0.3470715835141
"240","California State University-Long Beach",1,5325,7681,0.7228,0.5481,0.241698948533481
"241","California State University-Los Angeles",1,4315,6587,0.4925,0.3025,0.385786802030457
"242","California State University-Northridge",1,6041,6730,0.5746,0.3371,0.413331012878524
"243","California State University-Sacramento",1,5144,7426,0.5132,0.3179,0.380553390491037
"244","University of California-Berkeley",1,17867,18988,0.9126,0.7397,0.189458689458689
"245","University of California-Davis",1,13468,22820,0.8576,0.6803,0.20673973880597
"246","University of California-Irvine",1,13947,18713,0.8544,0.8125,0.0490402621722847
"247","University of California-Los Angeles",1,15556,40020,0.9137,0.8089,0.114698478712925
"248","University of California-Riverside",1,12326,10948,0.6854,0.7328,-0.0691566968193755
"249","University of California-San Diego",1,14857,24195,0.853,0.9615,-0.127198124267292
"251","University of California-Santa Barbara",1,13281,11314,0.8355,0.75,0.102333931777379
"252","University of California-Santa Cruz",1,11623,8835,0.7867,0.7327,0.0686411592729121
"258","California Institute of the Arts",2,29456,21618,0.6667,0.5833,0.125093745312734
"275","Chapman University",2,25520,14025,0.7405,0.625,0.155975692099933
"277","Concordia University-Irvine",2,12439,5536,0.6098,0.1429,0.765660872417186
"284","Claremont McKenna College",2,30090,25915,0.8794,0.8333,0.0524221059813508
"288","Cogswell College",3,15016,8102,0.25,0.6667,-1.6668
"289","Coleman University",2,10324,2769,0.5909,0.3333,0.435945168387206
"293","Columbia College-Hollywood",2,18913,3652,0.5833,0.3333,0.428595919766844
"308","Dominican University of California",2,22713,14391,0.662,0.4167,0.370543806646526
"319","Fashion Institute of Design & Merchandising-Los Angeles",3,27199,8393,0.6509,0.4559,0.299585189737287
"320","Fashion Institute of Design & Merchandising-San Francisco",3,30042,9270,0.625,0.5,0.2
"331","Fresno Pacific University",2,13869,6076,0.68,0.5,0.264705882352941
"344","Harvey Mudd College",2,28151,30078,0.9194,0.5,0.456167065477485
"351","Holy Names University",2,17558,8413,0.75,0.7368,0.0176
"353","Humboldt State University",1,4825,8376,0.4739,0.32,0.324752057396075
"354","Humphreys College-Stockton and Modesto Campuses",2,10688,3801,0.5333,0.7647,-0.43390211888243
"360","ITT Technical Institute-National City",3,17913,1702,0.35,0.0625,0.821428571428571
"361","ITT Technical Institute-San Dimas",3,15184,2040,0.5,0.5,0
"362","ITT Technical Institute-Orange",3,17600,1951,0.5333,0.6667,-0.250140633789612
"368","Argosy University-The Art Institute of California-San Diego",3,9861,4730,0.4912,0.4444,0.0952768729641694
"369","University of La Verne",2,14914,6518,0.5862,0.375,0.36028659160696
"376","Lincoln University",2,14686,4452,1,0.5,0.5
"378","La Sierra University",2,28202,11966,0.4375,0.2917,0.333257142857143
"387","The Master's College and Seminary",2,13518,7546,0.6284,1,-0.591343093570974
"392","Argosy University-The Art Institute of California-San Francisco",3,15514,6223,0.2857,0.1667,0.416520826041302
"393","Loyola Marymount University",2,29570,15175,0.7715,0.7324,0.0506804925469863
"406","Marymount California University",2,22264,8062,0.3186,0.3333,-0.0461393596986817
"408","Menlo College",2,18268,7655,0.4127,0.6,-0.453840562151684
"411","Mills College",2,19224,15534,0.6329,0.6667,-0.0534049612893031
"423","Mount Saint Mary's University",2,22593,9347,0.5238,0.7059,-0.347651775486827
"426","Musicians Institute",3,23399,9586,0.5307,0.2632,0.504051253061994
"441","Notre Dame de Namur University",2,18929,7045,0.5625,0.1818,0.6768
"442","Occidental College",2,25220,17405,0.8592,0.8462,0.0151303538175047
