"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_HISP","gap_completion_white_hispanic"
"2","University of Alabama at Birmingham",1,9899,17920,0.5506,0.6071,-0.102615328732292
"4","University of Alabama in Huntsville",1,8956,10211,0.4792,0.5,-0.0434056761268781
"6","The University of Alabama",1,12791,10239,0.6652,0.6321,0.0497594708358389
"10","Auburn University",1,14135,11704,0.7203,0.6458,0.103429126752742
"11","Birmingham Southern College",2,10266,10658,0.6685,0.375,0.43904263275991
"17","Faulkner University",2,11127,5826,0.3464,0.3333,0.0378175519630485
"23","Herzing University-Birmingham",3,11395,5800,0.4,1,-1.5
"24","Huntingdon College",2,10131,6435,0.4592,0.25,0.455574912891986
"31","Judson College",2,8101,11427,0.4737,0.25,0.472239814228415
"33","University of West Alabama",1,7928,7552,0.3896,0.3333,0.144507186858316
"38","University of Montevallo",1,7568,7972,0.4346,0.5833,-0.342153704555914
"40","University of North Alabama",1,6702,7218,0.4789,0.4545,0.0509500939653372
"47","Samford University",2,18352,14553,0.6721,0.5714,0.149828894509746
"51","University of South Alabama",1,7295,10870,0.4038,0.4048,-0.00247647350173353
"57","Troy University",1,8632,5643,0.4271,0.4828,-0.130414422851791
"61","University of Alaska Anchorage",1,5843,10594,0.3015,0.2206,0.26832504145937
"63","University of Alaska Fairbanks",1,6491,16892,0.3914,0.3125,0.201584057230455
"64","University of Alaska Southeast",1,6117,12814,0.2208,0.1667,0.245018115942029
"69","Everest College-Phoenix",3,13130,7785,0.3062,0.457,-0.492488569562377
"70","Collins College",3,33714,15126,0.5128,0.383,0.253120124804992
"79","CollegeAmerica-Flagstaff",2,17541,3873,0.475,0.7,-0.473684210526316
"83","Arizona State University-Tempe",1,12460,9671,0.6394,0.6079,0.049264935877385
"86","Southwest University of Visual Arts-Tucson",3,19099,2963,1,1,0
"88","Brown Mackie College-Tucson",3,10380,3883,0.3488,0.32,0.0825688073394495
"96","Embry-Riddle Aeronautical University-Prescott",2,26607,14781,0.5938,0.413,0.304479622768609
"99","Grand Canyon University",3,10550,1837,0.4545,0.1429,0.685588558855886
"103","ITT Technical Institute-Tucson",3,19470,1722,0.375,0.2069,0.448266666666667
"104","ITT Technical Institute-Tempe",3,19621,1925,0.2857,0.4348,-0.52187609380469
"108","Northern Arizona University",1,7331,7510,0.5404,0.4536,0.160621761658031
"114","Pima Medical Institute-Tucson",3,6165,2713,0.669,0.6742,-0.00777279521674138
"123","Arizona Christian University",2,9345,6537,0.614,0.5,0.185667752442997
"126","Western International University",3,8252,3306,0.0238,0.0909,-2.81932773109244
"129","University of Arkansas at Little Rock",1,6640,7485,0.3246,0.3462,-0.066543438077634
"138","University of Arkansas",1,7143,9069,0.6365,0.6064,0.0472898664571876
"139","University of Arkansas at Pine Bluff",1,2164,7827,0.3636,0.3333,0.0833333333333333
"141","Arkansas State University-Main Campus",1,3633,5358,0.4754,0.3462,0.271771140092554
"142","Arkansas Tech University",1,3668,4516,0.4678,0.2889,0.382428388200086
"143","University of Arkansas at Monticello",1,2942,7186,0.3435,0.6,-0.746724890829694
"147","University of Central Arkansas",1,4697,6788,0.4718,0.4211,0.107460788469691
"157","Harding University",2,12463,9684,0.6299,0.4231,0.328306080330211
"158","Henderson State University",1,3067,6495,0.4031,0.4,0.00769039940461422
"159","Hendrix College",2,11902,11426,0.7407,0.75,-0.0125556905629809
"162","John Brown University",2,10593,7556,0.592,0.7778,-0.313851351351352
"172","Ouachita Baptist University",2,10798,8934,0.6023,0.3333,0.446621285073883
"175","University of the Ozarks",2,10822,9797,0.4605,0.3333,0.276221498371336
"189","Southern Arkansas University Main Campus",1,3602,6436,0.3665,0.4545,-0.240109140518418
"192","University of Arkansas-Fort Smith",1,2356,5534,0.2556,0.2615,-0.0230829420970267
"193","Academy of Art University",3,25086,12136,0.2595,0.1875,0.277456647398844
"194","ITT Technical Institute-Rancho Cordova",3,18433,3361,0.3333,0.55,-0.65016501650165
"208","Art Center College of Design",2,30191,19131,0.4375,0.8571,-0.959085714285714
"211","Azusa Pacific University",2,18423,10128,0.7072,0.5875,0.169259049773756
"216","Biola University",2,21146,10696,0.7211,0.7257,-0.00637914297600894
"217","Brooks Institute",3,22622,8556,0.5455,0.6667,-0.22218148487626
"219","Bryan University",3,15123,5522,0.0362,0.0568,-0.569060773480663
"224","California Baptist University",2,18625,8080,0.6145,0.4946,0.195117982099268
"225","California College of the Arts",2,27248,15586,0.4911,0.7143,-0.454489920586439
"227","California Institute of Technology",2,16533,92590,0.8925,0.9231,-0.0342857142857144
"228","California Lutheran University",2,18773,8294,0.6895,0.5938,0.138796229151559
"231","California State University-Bakersfield",1,2882,6431,0.4437,0.4684,-0.0556682443092179
"232","California State University-Stanislaus",1,4697,8321,0.571,0.5279,0.0754816112084062
"233","California State University-San Bernardino",1,4359,6809,0.5333,0.4831,0.0941308831801988
"234","California State Polytechnic University-Pomona",1,4552,7308,0.6059,0.4972,0.179402541673544
"235","California State University-Chico",1,4966,6913,0.6277,0.4676,0.255058148797196
"236","California State University-Dominguez Hills",1,5053,6715,0.5143,0.3676,0.285242076608983
"237","California State University-Fresno",1,3810,6613,0.6305,0.4889,0.224583663758921
"238","California State University-Fullerton",1,5984,7739,0.6227,0.491,0.211498313794765
"239","California State University-East Bay",1,6661,7087,0.4149,0.3392,0.182453603277898
"240","California State University-Long Beach",1,5325,7681,0.7228,0.5877,0.186912008854455
"241","California State University-Los Angeles",1,4315,6587,0.4925,0.3969,0.194111675126904
"242","California State University-Northridge",1,6041,6730,0.5746,0.4362,0.240863209189001
"243","California State University-Sacramento",1,5144,7426,0.5132,0.4376,0.147310989867498
"244","University of California-Berkeley",1,17867,18988,0.9126,0.8473,0.071553802323033
"245","University of California-Davis",1,13468,22820,0.8576,0.7788,0.0918843283582089
"246","University of California-Irvine",1,13947,18713,0.8544,0.8187,0.0417837078651686
"247","University of California-Los Angeles",1,15556,40020,0.9137,0.8503,0.0693882018167889
"248","University of California-Riverside",1,12326,10948,0.6854,0.6623,0.0337029471841261
"249","University of California-San Diego",1,14857,24195,0.853,0.7681,0.0995310668229777
"251","University of California-Santa Barbara",1,13281,11314,0.8355,0.783,0.0628366247755835
"252","University of California-Santa Cruz",1,11623,8835,0.7867,0.7149,0.0912673191813906
"258","California Institute of the Arts",2,29456,21618,0.6667,0.5882,0.11774411279436
"259","The California Maritime Academy",1,7649,15227,0.6154,0.4375,0.289080272993175
"275","Chapman University",2,25520,14025,0.7405,0.8091,-0.0926401080351114
"277","Concordia University-Irvine",2,12439,5536,0.6098,0.5833,0.0434568711052804
"278","San Diego Christian College",2,18695,7034,0.4615,0.5,-0.0834236186348862
"284","Claremont McKenna College",2,30090,25915,0.8794,0.7586,0.13736638617239
"289","Coleman University",2,10324,2769,0.5909,0.5385,0.0886782873582671
"293","Columbia College-Hollywood",2,18913,3652,0.5833,0.375,0.357106120349734
"308","Dominican University of California",2,22713,14391,0.662,0.5625,0.150302114803625
"319","Fashion Institute of Design & Merchandising-Los Angeles",3,27199,8393,0.6509,0.5738,0.118451375019204
"320","Fashion Institute of Design & Merchandising-San Francisco",3,30042,9270,0.625,0.5,0.2
"331","Fresno Pacific University",2,13869,6076,0.68,0.6522,0.0408823529411765
"344","Harvey Mudd College",2,28151,30078,0.9194,0.8571,0.0677615836415053
"351","Holy Names University",2,17558,8413,0.75,0.4815,0.358
"353","Humboldt State University",1,4825,8376,0.4739,0.4183,0.117324330027432
"354","Humphreys College-Stockton and Modesto Campuses",2,10688,3801,0.5333,0.8261,-0.549034314644665
"360","ITT Technical Institute-National City",3,17913,1702,0.35,0.3448,0.0148571428571428
"361","ITT Technical Institute-San Dimas",3,15184,2040,0.5,0.3636,0.2728
"362","ITT Technical Institute-Orange",3,17600,1951,0.5333,0.4868,0.0871929495593474
"367","Life Pacific College",2,9442,3228,0.4857,0.5,-0.0294420424130121
"368","Argosy University-The Art Institute of California-San Diego",3,9861,4730,0.4912,0.5114,-0.0411237785016285
"369","University of La Verne",2,14914,6518,0.5862,0.6667,-0.137325145001706
"370","Laguna College of Art and Design",2,17713,10188,0.45,0.2222,0.506222222222222
"378","La Sierra University",2,28202,11966,0.4375,0.4938,-0.128685714285714
"387","The Master's College and Seminary",2,13518,7546,0.6284,0.4,0.36346276257161
"392","Argosy University-The Art Institute of California-San Francisco",3,15514,6223,0.2857,0.68,-1.3801190059503
"393","Loyola Marymount University",2,29570,15175,0.7715,0.7887,-0.0222942320155541
"406","Marymount California University",2,22264,8062,0.3186,0.3968,-0.245448838669178
"408","Menlo College",2,18268,7655,0.4127,0.5417,-0.312575720862612
"411","Mills College",2,19224,15534,0.6329,0.8125,-0.283773107915942
"423","Mount Saint Mary's University",2,22593,9347,0.5238,0.6725,-0.283886979763268
"426","Musicians Institute",3,23399,9586,0.5307,0.4421,0.166949312229131
"434","National University",2,8682,3197,0.5385,0.25,0.535747446610956
"435","Newschool of Architecture and Design",3,19447,7892,0.4,0.4286,-0.0714999999999999
"441","Notre Dame de Namur University",2,18929,7045,0.5625,0.6585,-0.170666666666667
"442","Occidental College",2,25220,17405,0.8592,0.8438,0.0179236499068901
"446","Otis College of Art and Design",2,27323,14922,0.56,0.5,0.107142857142857
"448","Hope International University",2,10009,6137,0.44,0.5455,-0.239772727272727
