"","INSTNM","CONTROL","TUITFTE","INEXPFTE","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_earnings_high_low","gap_earnings_high_mid","gap_earnings_mid_low"
"1","Alabama A & M University",1,9427,7437,32900,36100,39000,0.156410256410256,0.0743589743589744,0.0886426592797784
"2","University of Alabama at Birmingham",1,9899,17920,45900,44100,49500,0.0727272727272727,0.109090909090909,-0.0408163265306122
"4","University of Alabama in Huntsville",1,8956,10211,45800,52700,53300,0.140712945590994,0.0112570356472795,0.130929791271347
"5","Alabama State University",1,7733,7618,27900,31100,32200,0.133540372670807,0.0341614906832298,0.102893890675241
"6","The University of Alabama",1,12791,10239,45800,48900,50200,0.0876494023904383,0.0258964143426295,0.0633946830265849
"7","Central Alabama Community College",1,2100,6847,29300,33900,39800,0.263819095477387,0.148241206030151,0.135693215339233
"8","Athens State University",1,5476,6446,38100,44300,44700,0.147651006711409,0.00894854586129754,0.139954853273138
"9","Auburn University at Montgomery",1,8071,6837,33900,41100,41200,0.177184466019417,0.00242718446601942,0.175182481751825
"10","Auburn University",1,14135,11704,52300,51400,53800,0.0278810408921933,0.0446096654275093,-0.0175097276264591
"14","South University-Montgomery",3,14833,6605,29200,40600,46400,0.370689655172414,0.125,0.280788177339901
"16","James H Faulkner State Community College",1,2423,4157,29000,34600,35300,0.178470254957507,0.0198300283286119,0.161849710982659
"17","Faulkner University",2,11127,5826,35000,45200,53200,0.342105263157895,0.150375939849624,0.225663716814159
"23","Herzing University-Birmingham",3,11395,5800,38500,47600,47700,0.192872117400419,0.00209643605870021,0.191176470588235
"24","Huntingdon College",2,10131,6435,36200,40400,43800,0.17351598173516,0.0776255707762557,0.103960396039604
"27","Jacksonville State University",1,6447,7283,33600,38300,39900,0.157894736842105,0.0401002506265664,0.122715404699739
"29","Jefferson State Community College",1,2708,4733,29500,35400,37500,0.213333333333333,0.056,0.166666666666667
"30","John C Calhoun State Community College",1,3170,3706,28100,36000,37500,0.250666666666667,0.04,0.219444444444444
"33","University of West Alabama",1,7928,7552,33700,39600,41700,0.191846522781775,0.0503597122302158,0.148989898989899
"36","Miles College",2,5202,5140,26200,30400,33300,0.213213213213213,0.0870870870870871,0.138157894736842
"37","University of Mobile",2,9947,6766,36000,40000,38600,0.0673575129533679,-0.0362694300518135,0.1
"38","University of Montevallo",1,7568,7972,34600,36300,37700,0.0822281167108753,0.0371352785145889,0.046831955922865
"39","Northwest-Shoals Community College",1,1624,5099,26600,34000,38600,0.310880829015544,0.119170984455959,0.217647058823529
"40","University of North Alabama",1,6702,7218,36800,40700,41800,0.119617224880383,0.0263157894736842,0.0958230958230958
"42","Oakwood University",2,11693,7701,35500,39200,42700,0.168618266978923,0.0819672131147541,0.0943877551020408
"47","Samford University",2,18352,14553,66000,63100,49200,-0.341463414634146,-0.282520325203252,-0.045958795562599
"51","University of South Alabama",1,7295,10870,43100,43800,46200,0.0670995670995671,0.051948051948052,0.0159817351598174
"52","Spring Hill College",2,12082,7460,44600,47100,53000,0.158490566037736,0.111320754716981,0.0530785562632696
"54","Stillman College",2,21345,9567,25400,30900,34400,0.261627906976744,0.101744186046512,0.177993527508091
"57","Troy University",1,8632,5643,34700,42300,44300,0.216704288939052,0.0451467268623025,0.179669030732861
"58","Tuskegee University",2,14104,14344,37500,43400,46300,0.190064794816415,0.0626349892008639,0.135944700460829
"61","University of Alaska Anchorage",1,5843,10594,42700,48300,51700,0.174081237911025,0.0657640232108317,0.115942028985507
"63","University of Alaska Fairbanks",1,6491,16892,37300,44200,47100,0.208067940552017,0.0615711252653928,0.156108597285068
"64","University of Alaska Southeast",1,6117,12814,34300,44000,42900,0.2004662004662,-0.0256410256410256,0.220454545454545
"67","Charter College-Anchorage",3,8755,2617,33000,48100,55900,0.409660107334526,0.13953488372093,0.313929313929314
"70","Collins College",3,33714,15126,25500,33000,38200,0.332460732984293,0.136125654450262,0.227272727272727
"75","American Institute of Technology",3,7854,5458,29300,35700,37800,0.224867724867725,0.0555555555555556,0.179271708683473
"76","Carrington College-Phoenix",3,13638,3582,24800,31400,32600,0.239263803680982,0.0368098159509202,0.210191082802548
"77","Carrington College-Mesa",3,14755,6542,24800,31400,32600,0.239263803680982,0.0368098159509202,0.210191082802548
"78","Carrington College-Tucson",3,13497,2581,24800,31400,32600,0.239263803680982,0.0368098159509202,0.210191082802548
"81","Arizona Automotive Institute",3,17356,7086,30800,39400,38200,0.193717277486911,-0.031413612565445,0.218274111675127
"82","Brookline College-Phoenix",3,16664,6269,22100,27700,35300,0.373937677053824,0.215297450424929,0.202166064981949
"83","Arizona State University-Tempe",1,12460,9671,49000,52800,54500,0.100917431192661,0.0311926605504587,0.071969696969697
"85","University of Arizona",1,12441,12071,50000,52000,57100,0.124343257443082,0.0893169877408056,0.0384615384615385
"86","Southwest University of Visual Arts-Tucson",3,19099,2963,28800,32700,34300,0.160349854227405,0.0466472303206997,0.119266055045872
"87","Central Arizona College",1,1192,6512,28700,32500,41600,0.310096153846154,0.21875,0.116923076923077
"90","Cochise County Community College District",1,744,3140,30800,39500,47900,0.356993736951983,0.175365344467641,0.220253164556962
"96","Embry-Riddle Aeronautical University-Prescott",2,26607,14781,64900,65100,66600,0.0255255255255255,0.0225225225225225,0.00307219662058372
"98","Glendale Community College",1,1489,4684,34400,39000,42700,0.194379391100703,0.0866510538641686,0.117948717948718
