"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"1","Alabama A & M University",1,"9427","7437","0.1429","0.3581","0","NULL","0","NULL","NULL","0.0833","NULL","14413","18255","17250","32900","36100","39000"
"2","University of Alabama at Birmingham",1,"9899","17920","0.5506","0.5221","0.6071","0.7143","0.375","1","1","0.7222","0.4717","14725","14692.5","14000","45900","44100","49500"
"3","Amridge University",2,"12459","5532","NULL","0.1667","NULL","NULL","NULL","NULL","NULL","NULL","0.3333","8563","15750","13882","PrivacySuppressed","44800","PrivacySuppressed"
"4","University of Alabama in Huntsville",1,"8956","10211","0.4792","0.3028","0.5","0.65","0.4286","NULL","0.5833","0.5263","0.5","17107","16938","14000","45800","52700","53300"
"5","Alabama State University",1,"7733","7618","0.4444","0.2599","0","0","0","NULL","1","NULL","1","14250","15019","14250","27900","31100","32200"
"6","The University of Alabama",1,"12791","10239","0.6652","0.6016","0.6321","0.5909","0.5652","NULL","NULL","0.6667","NULL","18250","17250","16500","45800","48900","50200"
"7","Central Alabama Community College",1,"2100","6847","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7174.5","6239","4500","29300","33900","39800"
"8","Athens State University",1,"5476","6446","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12833","13629","12258","38100","44300","44700"
"9","Auburn University at Montgomery",1,"8071","6837","0.2623","0.15","0","0.3333","0.25","NULL","NULL","0.4444","0.1538","9500","10500","10250","33900","41100","41200"
"10","Auburn University",1,"14135","11704","0.7203","0.6044","0.6458","0.6622","0.7143","NULL","NULL","0.5","0.6176","16500","18750","17475","52300","51400","53800"
"11","Birmingham Southern College",2,"10266","10658","0.6685","0.4","0.375","0.7273","1","NULL","NULL","NULL","0.5","19750","25717","21500","PrivacySuppressed","PrivacySuppressed","49900"
"12","Chattahoochee Valley Community College",1,"1641","4207","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5800","5500","27300","PrivacySuppressed","PrivacySuppressed"
"13","Concordia College Alabama",2,"5768","6755","0","0.242","0","NULL","NULL","NULL","NULL","0.75","NULL","9500","PrivacySuppressed","PrivacySuppressed","22800","PrivacySuppressed","PrivacySuppressed"
"14","South University-Montgomery",3,"14833","6605","0.2353","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8171","10559","12387.5","29200","40600","46400"
"15","Enterprise State Community College",1,"2055","5522","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6164","5500","5500","27700","PrivacySuppressed","PrivacySuppressed"
"16","James H Faulkner State Community College",1,"2423","4157","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5500","5500","29000","34600","35300"
"17","Faulkner University",2,"11127","5826","0.3464","0.1837","0.3333","0","0.3333","NULL","0","0.6","0","16600","14025","13500","35000","45200","53200"
"18","Gadsden State Community College",1,"1702","5831","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","28200","PrivacySuppressed","PrivacySuppressed"
"19","New Beginning College of Cosmetology",3,"7986","1961","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6153","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"20","George C Wallace State Community College-Dothan",1,"1928","6181","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","29300","PrivacySuppressed","PrivacySuppressed"
"21","George C Wallace State Community College-Hanceville",1,"2551","5159","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8000","8000","6750","28800","PrivacySuppressed","PrivacySuppressed"
