"","X","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_completion_white_black","gap_completion_white_hisp","gap_completion_white_asian","gap_completion_white_aian","gap_completion_white_nhpi","gap_completion_white_2mor","gap_completion_white_nra","gap_completion_white_unkn","gap_earnings_high_low","gap_earnings_high_mid"
"1",1,"Alabama A & M University",1,9427,7437,0.1429,0.3581,0,NA,0,NA,NA,0.0833,NA,14413,18255,17250,32900,36100,39000,-0.2152,0.1429,NA,0.1429,NA,NA,0.0596,NA,0.156410256410256,0.0743589743589744
"2",2,"University of Alabama at Birmingham",1,9899,17920,0.5506,0.5221,0.6071,0.7143,0.375,1,1,0.7222,0.4717,14725,14692.5,14000,45900,44100,49500,0.0285,-0.0565,-0.1637,0.1756,-0.4494,-0.4494,-0.1716,0.0789,0.0727272727272727,0.109090909090909
"3",3,"Amridge University",2,12459,5532,NA,0.1667,NA,NA,NA,NA,NA,NA,0.3333,8563,15750,13882,NA,44800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"University of Alabama in Huntsville",1,8956,10211,0.4792,0.3028,0.5,0.65,0.4286,NA,0.5833,0.5263,0.5,17107,16938,14000,45800,52700,53300,0.1764,-0.0208,-0.1708,0.0506,NA,-0.1041,-0.0471,-0.0208,0.140712945590994,0.0112570356472795
"5",5,"Alabama State University",1,7733,7618,0.4444,0.2599,0,0,0,NA,1,NA,1,14250,15019,14250,27900,31100,32200,0.1845,0.4444,0.4444,0.4444,NA,-0.5556,NA,-0.5556,0.133540372670807,0.0341614906832298
"6",6,"The University of Alabama",1,12791,10239,0.6652,0.6016,0.6321,0.5909,0.5652,NA,NA,0.6667,NA,18250,17250,16500,45800,48900,50200,0.0636,0.0331,0.0743,0.1,NA,NA,-0.00149999999999995,NA,0.0876494023904383,0.0258964143426295
"7",7,"Central Alabama Community College",1,2100,6847,NA,NA,NA,NA,NA,NA,NA,NA,NA,7174.5,6239,4500,29300,33900,39800,NA,NA,NA,NA,NA,NA,NA,NA,0.263819095477387,0.148241206030151
"8",8,"Athens State University",1,5476,6446,NA,NA,NA,NA,NA,NA,NA,NA,NA,12833,13629,12258,38100,44300,44700,NA,NA,NA,NA,NA,NA,NA,NA,0.147651006711409,0.00894854586129754
"9",9,"Auburn University at Montgomery",1,8071,6837,0.2623,0.15,0,0.3333,0.25,NA,NA,0.4444,0.1538,9500,10500,10250,33900,41100,41200,0.1123,0.2623,-0.071,0.0123,NA,NA,-0.1821,0.1085,0.177184466019417,0.00242718446601942
"10",10,"Auburn University",1,14135,11704,0.7203,0.6044,0.6458,0.6622,0.7143,NA,NA,0.5,0.6176,16500,18750,17475,52300,51400,53800,0.1159,0.0745,0.0581,0.00600000000000001,NA,NA,0.2203,0.1027,0.0278810408921933,0.0446096654275093
"11",11,"Birmingham Southern College",2,10266,10658,0.6685,0.4,0.375,0.7273,1,NA,NA,NA,0.5,19750,25717,21500,NA,NA,49900,0.2685,0.2935,-0.0588,-0.3315,NA,NA,NA,0.1685,NA,NA
"12",12,"Chattahoochee Valley Community College",1,1641,4207,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,5800,5500,27300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Concordia College Alabama",2,5768,6755,0,0.242,0,NA,NA,NA,NA,0.75,NA,9500,NA,NA,22800,NA,NA,-0.242,0,NA,NA,NA,NA,-0.75,NA,NA,NA
"14",14,"South University-Montgomery",3,14833,6605,0.2353,0,NA,NA,NA,NA,NA,NA,NA,8171,10559,12387.5,29200,40600,46400,0.2353,NA,NA,NA,NA,NA,NA,NA,0.370689655172414,0.125
"15",15,"Enterprise State Community College",1,2055,5522,NA,NA,NA,NA,NA,NA,NA,NA,NA,6164,5500,5500,27700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"James H Faulkner State Community College",1,2423,4157,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,5500,5500,29000,34600,35300,NA,NA,NA,NA,NA,NA,NA,NA,0.178470254957507,0.0198300283286119
"17",17,"Faulkner University",2,11127,5826,0.3464,0.1837,0.3333,0,0.3333,NA,0,0.6,0,16600,14025,13500,35000,45200,53200,0.1627,0.0131,0.3464,0.0131,NA,0.3464,-0.2536,0.3464,0.342105263157895,0.150375939849624
"18",18,"Gadsden State Community College",1,1702,5831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"New Beginning College of Cosmetology",3,7986,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,6153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"George C Wallace State Community College-Dothan",1,1928,6181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"George C Wallace State Community College-Hanceville",1,2551,5159,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,8000,6750,28800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"George C Wallace State Community College-Selma",1,1184,5861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Herzing University-Birmingham",3,11395,5800,0.4,0.3846,1,NA,NA,NA,NA,NA,0,9500,14750,14995,38500,47600,47700,0.0154,-0.6,NA,NA,NA,NA,NA,0.4,0.192872117400419,0.00209643605870021
"24",24,"Huntingdon College",2,10131,6435,0.4592,0.4286,0.25,NA,0,NA,NA,1,0.4444,14764,19120,15764,36200,40400,43800,0.0306,0.2092,NA,0.4592,NA,NA,-0.5408,0.0148,0.17351598173516,0.0776255707762557
"25",25,"Heritage Christian University",2,10966,9085,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"J F Drake State Community and Technical College",1,1292,4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Jacksonville State University",1,6447,7283,0.3478,0.2199,0.2143,0.375,0.5714,NA,NA,0.5556,0.1905,17234,16200,14000,33600,38300,39900,0.1279,0.1335,-0.0272,-0.2236,NA,NA,-0.2078,0.1573,0.157894736842105,0.0401002506265664
"28",28,"Jefferson Davis Community College",1,1178,5279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Jefferson State Community College",1,2708,4733,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,4500,5500,29500,35400,37500,NA,NA,NA,NA,NA,NA,NA,NA,0.213333333333333,0.056
"30",30,"John C Calhoun State Community College",1,3170,3706,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,5500,5500,28100,36000,37500,NA,NA,NA,NA,NA,NA,NA,NA,0.250666666666667,0.04
"31",31,"Judson College",2,8101,11427,0.4737,0.3,0.25,NA,1,NA,NA,NA,0,14250,19000,19500,NA,32900,NA,0.1737,0.2237,NA,-0.5263,NA,NA,NA,0.4737,NA,NA
"32",32,"Lawson State Community College-Birmingham Campus",1,1374,6161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"University of West Alabama",1,7928,7552,0.3896,0.2759,0.3333,0,0.25,NA,NA,NA,0,13182,12000,9699.5,33700,39600,41700,0.1137,0.0563,0.3896,0.1396,NA,NA,NA,0.3896,0.191846522781775,0.0503597122302158
"34",34,"Lurleen B Wallace Community College",1,1684,6246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Marion Military Institute",1,3286,5088,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,5500,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"Miles College",2,5202,5140,0,0.2143,0,NA,NA,NA,0,NA,0,11505,14259.5,14250,26200,30400,33300,-0.2143,0,NA,NA,NA,0,NA,0,0.213213213213213,0.0870870870870871
